_id,nombre_playa,provincia,id_costa
489,Nova Mar Bella,Barcelona,
482,Luaña,Cantabria,3900101
480,San Marcos,Tenerife,
478,Puerto Naos,Tenerife,
474,"Aigua Morta I Deveses, Rabdells",Valencia,4618103
472,Benitez,Ceuta,
471,El Puntal I,Cantabria,3906102
469,El Bocal,Cantabria,3907506
454,Las Fuentes B.75.1,Castellon,1200402
429,Grifeu,Girona,
427,Riumar,Tarragona,
426,L'Arenal,Tarragona,
425,Cala Forn,Tarragona,
424,Sant Jordi,Tarragona,
411,Gran Playa,Alicante,312108
410,Varadero,Alicante,312103
409,Cala Santiago Bernabeu,Alicante,312103
408,Levante,Alicante,312103
407,Playa Lisa,Alicante,312103
395,L'Alguer,Tarragona,
374,La Ribera,Cantabria,3908503
373,La Concha I,Cantabria,3908503
372,Los Locos I,Cantabria,3908503
371,Tagle,Cantabria,3908503
370,Galizano,Cantabria,3906102
369,Somo I,Cantabria,3906102
368,Langre,Cantabria,3906102
367,Los Peligros,Cantabria,3907511
362,Percheles,Murcia,
358,La Grava,Alicante,308204
357,Les Brises/Les Marines/Blay Beach,Alicante,308204
334,Oliva - Aigua Blanca-Pau Pi,Valencia,4618102
330,Loredo I,Cantabria,3906102
329,Bikinis,Cantabria,3907511
328,La Salve 1,Cantabria,3903502
321,Tamariu,Girona,
319,Cap Roig,Tarragona,
317,El Racó,Tarragona,
306,La Pineda (El Pinar De Perruquet),Tarragona,
301,Sant Sebastià,Barcelona,
300,Barceloneta Sant Miquel,Barcelona,
293,Poniente,Murcia,
292,Colonia,Murcia,
290,Bolnuevo-Camping,Murcia,
289,Nares,Murcia,
287,La Carolina,Murcia,
283,La Magdalena,Cantabria,3907511
282,Camello,Cantabria,3907506
281,La Concha,Cantabria,3908503
280,1ª Del Sardinero,Cantabria,3907506
279, Piquio,Cantabria,3907511
278,Castañeda,Cantabria,3907506
268,Calabardina,Murcia,
267,Las Delicias I,Murcia,
257,Marines  P 14.2,Castellon,1208201
249,Port De Soller,Baleares,
240,Cala Nova,Baleares,
229,Centro,Alicante,307605
228,Roqueta,Alicante,307605
227,Calarreona,Murcia,
221,Avellanes,Tarragona,
220,L'Arrabassada,Tarragona,
219,Miracle,Tarragona,
218,Llarga 2,Tarragona,
217,Llarga 1,Tarragona,
216,La Móra,Tarragona,
212,Francàs,Tarragona,
210,Sant Pol,Girona,
201,El Moro B. 75.4,Castellon,1200402
200,Romana B.75.3,Castellon,1200402
199,Cargador B.75.2,Castellon,1200402
183,Port Bo,Girona,
182,Canadell,Girona,
181,Llafranc,Girona,
178,Rastrell,Girona,
175,Del Port,Girona,
174,San Agustin,Las Palmas,
173,Luarca / Salinas,Asturias,
171,Barro,Asturias,
170,Sablon,Asturias,
169,Malvarrosa - Malvarrosa,Valencia,4625001
168,Ondarreta,Gipuzkoa,
166,Masnou-Alella,Barcelona,
164,La Maruca,Cantabria,3907506
163,Somocuevas,Cantabria,3905201
139,Puerto,Murcia,
